Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Taiwan/CGMH-CGU-36/2020.712/20A,2020.712,Taiwan,20A,GISAID
hCoV-19/Thailand/SamutSakhon-CONI-0352/2020.966/20A,2020.966,Thailand,20A,GISAID
hCoV-19/Yunnan/RLC8/2021.242/20A,2021.242,Yunnan,20A,GISAID
hCoV-19/USA/SC-DHEC-0075/2020.294/20C,2020.294,USA,20C,GISAID
hCoV-19/Guadeloupe/IPG-7342/2020.234/20C,2020.234,Guadeloupe,20C,GISAID
hCoV-19/USA/WI-UW-327/2020.316/20C,2020.316,USA,20C,GISAID
hCoV-19/Zimbabwe/ZW-29/2020.165/20C,2020.165,Zimbabwe,20C,GISAID
hCoV-19/USA/CO-CDPHE-2004230041/2020.141/20C,2020.141,USA,20C,GISAID
hCoV-19/Mexico/YUC-NYGC-33533-20/2020.611/20C,2020.611,Mexico,20C,GISAID
hCoV-19/Harbin/IVDC-01-01/2020.288/20C,2020.288,Harbin,20C,GISAID
hCoV-19/SriLanka/KDU0107/2020.31/20C,2020.31,SriLanka,20C,GISAID
hCoV-19/SriLanka/KDU0133/2020.31/20C,2020.31,SriLanka,20C,GISAID
hCoV-19/USA/AK-PHL21460/2020.668/20C,2020.668,USA,20C,GISAID
hCoV-19/Israel/CVL-n17054/2020.417/20C,2020.417,Israel,20C,GISAID
