Isolate,Accession_number,Collection_time,Country,Continent,Clade,Source
ERR144609,ERR144609,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229975,ERR229975,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067688,ERR067688,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234559,ERR234559,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108490,ERR108490,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR117455,ERR117455,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137249,ERR137249,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144606,ERR144606,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133941,ERR133941,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137278,ERR137278,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133948,ERR133948,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158575,ERR158575,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108434,ERR108434,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137215,ERR137215,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133840,ERR133840,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133847,ERR133847,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229939,ERR229939,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067639,ERR067639,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234581,ERR234581,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133960,ERR133960,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137273,ERR137273,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR144614,ERR144614,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR228022,ERR228022,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR144588,ERR144588,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR234646,ERR234646,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR108428,ERR108428,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR230005,ERR230005,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133894,ERR133894,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR234624,ERR234624,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133976,ERR133976,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR229935,ERR229935,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR108423,ERR108423,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR234562,ERR234562,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR067638,ERR067638,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR144608,ERR144608,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR234688,ERR234688,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133873,ERR133873,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133814,ERR133814,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR137212,ERR137212,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR234569,ERR234569,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR117469,ERR117469,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR229940,ERR229940,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133968,ERR133968,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133975,ERR133975,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR067608,ERR067608,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR228048,ERR228048,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR144594,ERR144594,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133865,ERR133865,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR234585,ERR234585,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
ERR133862,ERR133862,2009,Samara, Russia,Europe,Beijing,Casali et al. (2014)
